canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
AAAI,publication,ai_ml,tier_2,aaai;association for the advancement of artificial intelligence,education_description;experience_description;about;activities_honors,https://aaai.org,Broad AI conference,true,true,false
ACL,publication,nlp,tier_3,acl;association for computational linguistics,education_description;experience_description;about;activities_honors,https://www.aclweb.org,Top NLP conference,true,true,false
ASPLOS,publication,systems,tier_3,asplos;architectural support for programming languages,education_description;experience_description;about;activities_honors,https://www.asplos-conference.org,Architecture + systems crossover,true,true,false
CCS,publication,security,tier_3,ccs;acm ccs;computer and communications security,education_description;experience_description;about;activities_honors,https://www.sigsac.org/ccs,Top security conference,true,true,false
Cell,publication,journal,tier_3,cell;cell journal,education_description;experience_description;about;activities_honors,https://www.cell.com,Top life sciences journal,true,true,false
CHI,publication,hci,tier_3,chi;sigchi;conference on human factors,education_description;experience_description;about;activities_honors,https://chi.acm.org,Top HCI conference,true,true,false
CICC,publication,hardware,tier_3,cicc;custom integrated circuits conference,education_description;experience_description;about;activities_honors,https://www.cicc.ieee.org,Top custom IC design conference,true,true,false
Communications of the ACM,publication,journal,tier_2,cacm;communications of the acm,education_description;experience_description;about;activities_honors,https://cacm.acm.org,CS recognition,true,true,false
CoRL,publication,robotics,tier_3,corl;conference on robot learning,education_description;experience_description;about;activities_honors,https://corl.org,Robotics + ML; fast-rising,true,true,false
CRYPTO,publication,security,tier_3,crypto;international cryptology conference,education_description;experience_description;about;activities_honors,https://www.iacr.org/conferences/crypto,Top cryptography conference,true,true,false
CVPR,publication,vision,tier_3,cvpr;computer vision and pattern recognition,education_description;experience_description;about;activities_honors,https://cvpr.thecvf.com,Top computer vision conference,true,true,false
DAC,publication,hardware,tier_3,dac;design automation conference,education_description;experience_description;about;activities_honors,https://www.dac.com,Top design automation conference,true,true,false
ECCV,publication,vision,tier_3,eccv;european conference on computer vision,education_description;experience_description;about;activities_honors,https://eccv2024.ecva.net,Top European vision venue,true,true,false
EMNLP,publication,nlp,tier_3,emnlp;empirical methods in natural language processing,education_description;experience_description;about;activities_honors,https://2024.emnlp.org,Top applied NLP conference,true,true,false
Has Conference Publication,publication,publication,tier_2,published at;paper accepted;first author;corresponding author,education_description;experience_description;about,"",Has published research at a notable conference (use conference dictionary for venue tier),true,true,false
