canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active
AGI House Hackathon,hackathon,industry,tier_2,agi house;agi house hackathon,activities_honors;education_description;experience_description,https://agihouse.org,SF Bay Area AI hackathon hub,true,true
Anthropic Builder Hackathons,hackathon,industry,tier_2,anthropic hackathon;anthropic builder,activities_honors;education_description;experience_description,https://anthropic.com,Anthropic-sponsored builder events,true,true
AthenaHacks,hackathon,"","",athenahacks;athena hacks;usc women hackathon,projects;experience_description;activities_honors,"",USC's women-focused hackathon.,true,true
BigRed Hacks,hackathon,student,tier_2,bigred hacks;bigred//hacks;cornell hackathon,activities_honors;education_description;experience_description,https://bigredhacks.com,Cornell; product + applied engineering,true,true
Bitcamp,hackathon,"","",bitcamp;umd hackathon;bitcamp umd,projects;experience_description;activities_honors,https://bitcamp.org,University of Maryland's annual hackathon.,true,true
Boilermake,hackathon,"","",boilermake;boiler make;purdue hackathon,projects;experience_description;activities_honors,https://boilermake.org,Purdue University's annual hackathon.,true,true
Cal Hacks Cubstart,hackathon,"","",cubstart;cal hacks cubstart;calhacks cubstart,projects;experience_description;activities_honors,"",CalHacks' beginner-friendly accelerator program.,true,true
CalHacks,hackathon,student,tier_3,calhacks;cal hacks;berkeley hackathon,activities_honors;education_description;experience_description,https://calhacks.io,UC Berkeley; largest US student hackathon,true,true
Codeforces,hackathon,competitive_programming,tier_2,codeforces;codeforces grandmaster;codeforces red,activities_honors;education_description;experience_description;about,https://codeforces.com,Competitive programming; ratings color-coded; red/legendary = elite,true,true
DubHacks,hackathon,student,tier_2,dubhacks;uw hackathon,activities_honors;education_description;experience_description,https://dubhacks.co,University of Washington; PNW flagship,true,true
Global Game Jam,hackathon,"","",global game jam;ggj;game jam,projects;experience_description,https://globalgamejam.org,World's largest game creation event — 48-hour jam at 800+ locations.,true,true
Grace Hopper Hackathon,hackathon,"","",grace hopper hackathon;ghc hackathon;grace hopper celebration hackathon,projects;experience_description;activities_honors,"",Hackathon events at the Grace Hopper Celebration conference.,true,true
Hack the North,hackathon,student,tier_3,hackthenorth;hack the north,activities_honors;education_description;experience_description,https://hackthenorth.com,Waterloo (Canada); MIT/Stanford-tier global pull,true,true
Hackathon (generic),hackathon,"","",hackathon;hackathon participant;hackathon winner;hackathon finalist;won a hackathon;hackathon project,projects;experience_description;activities_honors,"",Generic catch-all for hackathon participation when no specific event is identified.,true,true
HackCMU,hackathon,"","",hackcmu;hack cmu;cmu hackathon;carnegie mellon hackathon,projects;experience_description;activities_honors,"",Carnegie Mellon's annual hackathon.,true,true
HackDavis,hackathon,"","",hackdavis;hack davis;uc davis hackathon,projects;experience_description;activities_honors,https://hackdavis.io,UC Davis social-good focused hackathon.,true,true
HackGT,hackathon,student,tier_2,hackgt;hack gt;georgia tech hackathon,activities_honors;education_description;experience_description,https://hack.gt,Georgia Tech hackathon,true,true
HackHarvard,hackathon,student,tier_2,hackharvard;hack harvard,activities_honors;education_description;experience_description,https://hackharvard.io,Harvard; mid-Atlantic strong,true,true
