canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active
NeurIPS,publication,ai_ml,3,"neurips;nips;neural information processing systems","description_raw;summary_raw;activities_raw",https://neurips.cc,Top global ML conference,TRUE,TRUE
ICML,publication,ai_ml,3,"icml;international conference on machine learning","description_raw;summary_raw;activities_raw",https://icml.cc,Top ML theory + applied conference,TRUE,TRUE
ICLR,publication,ai_ml,3,"iclr;international conference on learning representations","description_raw;summary_raw;activities_raw",https://iclr.cc,Top deep learning conference,TRUE,TRUE
AAAI,publication,ai_ml,2,"aaai;association for the advancement of artificial intelligence","description_raw;summary_raw;activities_raw",https://aaai.org,Broad AI conference,TRUE,TRUE
IJCAI,publication,ai_ml,2,"ijcai;international joint conference on artificial intelligence","description_raw;summary_raw;activities_raw",https://www.ijcai.org,International AI conference,TRUE,TRUE
MLSys,publication,ai_ml,3,"mlsys;mlsys conference;machine learning systems","description_raw;summary_raw;activities_raw",https://mlsys.org,ML systems venue; fast-rising; production ML signal,TRUE,TRUE
OSDI,publication,systems,3,"osdi;operating systems design and implementation","description_raw;summary_raw;activities_raw",https://www.usenix.org/conferences/osdi,Top OS systems conference,TRUE,TRUE
SOSP,publication,systems,3,"sosp;symposium on operating systems principles","description_raw;summary_raw;activities_raw",https://sosp.org,Top OS conference,TRUE,TRUE
NSDI,publication,systems,3,"nsdi;networked systems design and implementation","description_raw;summary_raw;activities_raw",https://www.usenix.org/conferences/nsdi,Top distributed systems conference,TRUE,TRUE
SIGCOMM,publication,systems,3,"sigcomm","description_raw;summary_raw;activities_raw",https://www.sigcomm.org,Top networking conference,TRUE,TRUE
ASPLOS,publication,systems,3,"asplos;architectural support for programming languages","description_raw;summary_raw;activities_raw",https://www.asplos-conference.org,Architecture + systems crossover,TRUE,TRUE
MICRO,publication,architecture,3,"micro;international symposium on microarchitecture","description_raw;summary_raw;activities_raw",https://www.microarch.org,Top computer architecture conference,TRUE,TRUE
ISCA,publication,architecture,3,"isca;international symposium on computer architecture","description_raw;summary_raw;activities_raw",https://iscaconf.org,Top computer architecture conference,TRUE,TRUE
HPCA,publication,architecture,3,"hpca;high performance computer architecture","description_raw;summary_raw;activities_raw",https://hpca-conf.org,Top high-perf architecture conference,TRUE,TRUE
IEEE S&P,publication,security,3,"ieee s&p;oakland;ieee security and privacy","description_raw;summary_raw;activities_raw",https://www.ieee-security.org/TC/SP,Top security conference (aka Oakland),TRUE,TRUE
USENIX Security,publication,security,3,"usenix security;usenix security symposium","description_raw;summary_raw;activities_raw",https://www.usenix.org/conferences,Top applied security conference,TRUE,TRUE
CCS,publication,security,3,"ccs;acm ccs;computer and communications security","description_raw;summary_raw;activities_raw",https://www.sigsac.org/ccs,Top security conference,TRUE,TRUE
NDSS,publication,security,2,"ndss;network and distributed system security","description_raw;summary_raw;activities_raw",https://www.ndss-symposium.org,Network security conference,TRUE,TRUE
CRYPTO,publication,security,3,"crypto;international cryptology conference","description_raw;summary_raw;activities_raw",https://www.iacr.org/conferences/crypto,Top cryptography conference,TRUE,TRUE
SIGMOD,publication,databases,3,"sigmod;acm sigmod","description_raw;summary_raw;activities_raw",https://sigmod.org,Top database conference,TRUE,TRUE
VLDB,publication,databases,3,"vldb;very large data bases","description_raw;summary_raw;activities_raw",https://vldb.org,Top database conference,TRUE,TRUE
KDD,publication,databases,2,"kdd;acm sigkdd","description_raw;summary_raw;activities_raw",https://www.kdd.org,Data mining + industry crossover,TRUE,TRUE
ICDE,publication,databases,2,"icde;international conference on data engineering","description_raw;summary_raw;activities_raw",https://icde2024.github.io,Data engineering conference,TRUE,TRUE
CVPR,publication,vision,3,"cvpr;computer vision and pattern recognition","description_raw;summary_raw;activities_raw",https://cvpr.thecvf.com,Top computer vision conference,TRUE,TRUE
ICCV,publication,vision,3,"iccv;international conference on computer vision","description_raw;summary_raw;activities_raw",https://iccv.thecvf.com,Top computer vision conference,TRUE,TRUE
ECCV,publication,vision,3,"eccv;european conference on computer vision","description_raw;summary_raw;activities_raw",https://eccv2024.ecva.net,Top European vision venue,TRUE,TRUE
ACL,publication,nlp,3,"acl;association for computational linguistics","description_raw;summary_raw;activities_raw",https://www.aclweb.org,Top NLP conference,TRUE,TRUE
EMNLP,publication,nlp,3,"emnlp;empirical methods in natural language processing","description_raw;summary_raw;activities_raw",https://2024.emnlp.org,Top applied NLP conference,TRUE,TRUE
NAACL,publication,nlp,2,"naacl;north american chapter of the acl","description_raw;summary_raw;activities_raw",https://naacl.org,Strong regional NLP conference,TRUE,TRUE
