canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
ACM-ICPC,competition,"","",acm-icpc;icpc;acm icpc;collegiate programming contest;icpc world finals;icpc regionals,activities_honors;education_description;projects,https://icpc.global,ACM International Collegiate Programming Contest — World Finals = elite signal.,true,true,false
AIAA Design/Build/Fly,competition,"","",aiaa dbf;design build fly;aiaa design build fly;dbf competition,education_description;projects,https://www.aiaa.org/dbf,AIAA competition to design and fly a radio-controlled aircraft.,true,true,false
AMC 10,competition,"","",amc 10;american mathematics competition 10;amc10,activities_honors;education_description,"",MAA math competition for students in grade 10 and below.,true,true,false
AMC 12,competition,"","",amc 12;american mathematics competition 12;amc12,activities_honors;education_description,"",MAA math competition for students in grade 12 and below.,true,true,false
American Invitational Mathematics Examination (AIME),competition,"","",aime;american invitational mathematics examination;aime qualifier,activities_honors;education_description,"",Invitation-only exam for top AMC scorers — bridge to USAMO.,true,true,false
American Regions Mathematics League (ARML),competition,"","",arml;american regions mathematics league;arml math,activities_honors;education_description,"",National math competition with regional teams.,true,true,false
ÅngstromCTF,competition,"","",angstromctf;angstrom ctf;ångström ctf,activities_honors;education_description,"",High school CTF run by Montgomery Blair High School students.,true,true,false
Autonomous Vehicle Team,competition,"","",autonomous vehicle team;self-driving car team;av team;autonomous racing,education_description;projects,"",Collegiate autonomous vehicle development team.,true,true,false
AUVSI RoboBoat,competition,"","",auvsi roboboat;roboboat competition,activities_honors;education_description;projects,"",AUVSI autonomous surface vehicle competition.,true,true,false
AUVSI SUAS,competition,"","",auvsi suas;suas competition;student unmanned aerial systems,activities_honors;education_description;projects,"",AUVSI Student Unmanned Aerial Systems competition.,true,true,false
Baja SAE,competition,"","",baja sae;baja;mini baja;sae baja,education_description;projects;activities_honors,"",SAE competition to design and build an off-road vehicle.,true,true,false
BattleBots,competition,"","",battlebots;battle bots;battlebots competition,activities_honors;experience_description;projects,https://battlebots.com,Combat robotics competition — featured on TV.,true,true,false
