canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active
160th Special Operations Aviation Regiment (Night Stalkers),military,special_operations,special_operations,160th soar;night stalkers;160th special operations aviation;night stalkers don't quit,experience_description;title,"",U.S. Army special operations aviation unit — flies for Tier 1 SOF units.,true,true
1st Special Forces Operational Detachment-Delta (Delta Force),military,special_operations,special_operations,delta force;1st sfod-d;combat applications group;cag;army compartmented element;ace,experience_description;title,"",U.S. Army Tier 1 special operations unit.,true,true
Air Force ROTC,military,rotc,tier_2,afrotc;air force rotc,activities_honors;education_description;experience_description;title,https://www.afrotc.com,US Air Force ROTC,true,true
Army ROTC,military,rotc,tier_2,army rotc;reserve officers training corps,activities_honors;education_description;experience_description;title,https://www.goarmy.com/rotc.html,US Army ROTC; defense pipeline tag,true,true
Commissioned Officer (Air Force),military,commissioned_officer,"",air force officer;commissioned officer air force;usaf officer,experience_description;title,"",Commissioned officer in the U.S. Air Force.,true,true
Commissioned Officer (Army),military,commissioned_officer,"",army officer;commissioned officer army;army commissioned officer;us army officer,experience_description;title,"",Commissioned officer in the U.S. Army.,true,true
Commissioned Officer (Coast Guard),military,commissioned_officer,"",coast guard officer;commissioned officer coast guard;uscg officer,experience_description;title,"",Commissioned officer in the U.S. Coast Guard.,true,true
Commissioned Officer (Marines),military,commissioned_officer,"",marine officer;commissioned officer marines;marine corps officer;usmc officer,experience_description;title,"",Commissioned officer in the U.S. Marine Corps.,true,true
Commissioned Officer (Navy),military,commissioned_officer,"",navy officer;commissioned officer navy;naval officer;us navy officer,experience_description;title,"",Commissioned officer in the U.S. Navy.,true,true
Commissioned Officer (Space Force),military,commissioned_officer,"",space force officer;commissioned officer space force;ussf officer,experience_description;title,"",Commissioned officer in the U.S. Space Force.,true,true
Enlisted (Air Force),military,enlisted,"",air force enlisted;enlisted air force;usaf enlisted;airman,experience_description;title,"",Enlisted service member in the U.S. Air Force.,true,true
