canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Astronaut Scholarship,scholarship,"",tier_3,astronaut scholarship;astronaut scholar;astronaut scholarship foundation,activities_honors;education_description,https://astronautscholarship.org,STEM scholarship from the Astronaut Scholarship Foundation for top undergrads.,true,true,false
Boren Scholarship,scholarship,"",tier_2,boren scholarship;boren scholar;boren award undergraduate;david l boren scholarship,activities_honors;education_description,https://www.borenawards.org,NSEP undergraduate scholarship for study abroad in underrepresented regions.,true,true,false
Churchill Scholarship,scholarship,academic_scholar,tier_3,churchill scholar;churchill scholarship;winston churchill foundation,activities_honors;experience_description;education_description,https://churchillscholarship.org,Cambridge STEM-focused graduate scholarship for Americans,true,true,false
Coca-Cola Scholar,scholarship,"",tier_2,coca-cola scholar;coca cola scholar;coca-cola scholarship;coca cola scholars foundation,activities_honors;education_description,https://www.coca-colascholarsfoundation.org,Achievement-based scholarship recognizing 150 high school seniors annually.,true,true,false
Daniels Fund Scholarship,scholarship,"",tier_2,daniels fund;daniels scholar;daniels fund scholarship;daniels scholarship program,activities_honors;education_description,https://www.danielsfund.org,"Full-ride scholarship for students in CO, NM, UT, WY with character + need.",true,true,false
Fulbright STEM,scholarship,academic_scholar,tier_3,fulbright;fulbright stem;fulbright fellow;fulbright scholar,activities_honors;experience_description;education_description,https://fulbrightprogram.org,US State Department international exchange program (STEM track),true,true,false
Gates Cambridge,scholarship,academic_scholar,tier_3,gates cambridge;gates scholar;gates cambridge scholar,activities_honors;experience_description;education_description,https://gatescambridge.org,Cambridge graduate scholarship funded by Gates Foundation,true,true,false
Gates Millennium Scholars,scholarship,"",tier_2,gates millennium;gates millennium scholar;gates millennium scholarship;gms scholar,activities_honors;education_description,https://www.gmsp.org,"Bill & Melinda Gates Foundation full scholarship for minority students (now closed, alumni remain).",true,true,false
Gates Scholarship,scholarship,"",tier_2,gates scholarship;gates scholar;the gates scholarship,activities_honors;education_description,https://www.thegatesscholarship.org,Full scholarship for Pell-eligible minority high school seniors (successor to GMS).,true,true,false
Goldwater Scholarship,scholarship,academic_scholar,tier_3,goldwater;goldwater scholar;barry goldwater scholarship,activities_honors;experience_description;education_description,https://goldwater.scholarsapply.org,Undergraduate STEM research scholarship,true,true,false
Hispanic Scholarship Fund,scholarship,"",tier_1,hispanic scholarship fund;hsf;hsf scholar;hispanic scholarship,activities_honors;education_description,https://www.hsf.net,Largest Hispanic scholarship organization in the U.S.,true,true,false
Jack Kent Cooke College Scholarship,scholarship,"",tier_3,jack kent cooke college scholarship;jkc college scholarship;cooke scholarship;jack kent cooke scholar,activities_honors;education_description,https://www.jkcf.org,Up to $55K/year for exceptional community college transfer students.,true,true,false
Jack Kent Cooke Graduate Scholarship,scholarship,"",tier_3,jack kent cooke graduate scholarship;jkc graduate;cooke graduate scholarship,activities_honors;education_description,https://www.jkcf.org,Up to $75K/year for outstanding college seniors with financial need entering grad school.,true,true,false
Jack Kent Cooke Young Scholars,scholarship,"",tier_2,jack kent cooke young scholars;jkc young scholars;cooke young scholars,activities_honors;education_description,https://www.jkcf.org,Comprehensive pre-college program for high-achieving students with financial need.,true,true,false
Jefferson Scholar (UVA),scholarship,"",tier_3,jefferson scholar;jefferson scholarship;jefferson scholars foundation;uva jefferson scholar,activities_honors;education_description,https://www.jeffersonscholars.org,UVA's most prestigious merit scholarship — full cost of attendance.,true,true,false
Knight-Hennessy Scholars,scholarship,academic_scholar,tier_3,knight-hennessy;knight hennessy;kh scholar;knight hennessy scholars,activities_honors;experience_description;education_description,https://knight-hennessy.stanford.edu,Stanford full-funding graduate scholarship; ~100 scholars per cohort,true,true,false
Marshall Scholarship,scholarship,academic_scholar,tier_3,marshall scholar;marshall scholarship;marshall fellow,activities_honors;experience_description;education_description,https://marshallscholarship.org,UK graduate scholarship for American students,true,true,false
Mitchell Scholarship,scholarship,"",tier_3,mitchell scholarship;mitchell scholar;george mitchell scholarship,activities_honors;education_description,https://www.us-irelandalliance.org/mitchellscholarship,Fellowship for graduate study in Ireland.,true,true,false
Morehead-Cain Scholar,scholarship,"",tier_3,morehead-cain;morehead cain;morehead-cain scholar;morehead scholarship;morehead cain scholarship,activities_honors;education_description,https://www.moreheadcain.org,First merit scholarship in the U.S.; full ride to UNC-Chapel Hill.,true,true,false
National Merit Scholar,scholarship,"",tier_2,national merit;national merit scholar;national merit scholarship;national merit finalist;national merit semifinalist;nmsqt,activities_honors;education_description,https://www.nationalmerit.org,PSAT-based scholarship recognizing top ~1% of U.S. high school students.,true,true,false
Park Scholar (NCSU),scholarship,"",tier_3,park scholar;park scholarship;park scholars ncsu;nc state park scholar,activities_honors;education_description,https://park.ncsu.edu,NC State's premier merit scholarship — full ride with leadership programming.,true,true,false
Paul & Daisy Soros Fellowship,scholarship,"",tier_3,soros fellowship;paul and daisy soros;pd soros;soros fellow;paul & daisy soros fellowship,activities_honors;education_description,https://www.pdsoros.org,Graduate fellowship for New Americans — immigrants and children of immigrants.,true,true,false
Posse Scholar,scholarship,"",tier_2,posse scholar;posse scholarship;posse foundation;posse fellow,activities_honors;education_description,https://www.possefoundation.org,Full-tuition leadership scholarship sending diverse cohorts to top colleges.,true,true,false
QuestBridge College Scholar,scholarship,"",tier_1,questbridge college scholar;questbridge college prep scholar,activities_honors;education_description,https://www.questbridge.org,QuestBridge's college prep program for high school juniors.,true,true,false
QuestBridge Match Scholar,scholarship,"",tier_3,questbridge;questbridge match;questbridge scholar;questbridge national college match;questbridge finalist,activities_honors;education_description,https://www.questbridge.org,Matches high-achieving low-income students with full scholarships to top colleges.,true,true,false
Reagan Foundation GE-Reagan Scholarship,scholarship,"",tier_1,ge-reagan scholarship;reagan scholarship;reagan scholar;ge reagan scholar,activities_honors;education_description,https://www.reaganfoundation.org/education/scholarship-programs/,Renewable $10K scholarship for student leaders who exemplify Reagan's leadership.,true,true,false
Rhodes Scholarship,scholarship,academic_scholar,tier_3,rhodes scholar;rhodes scholarship;rhodes fellow,activities_honors;experience_description;education_description,https://rhodesscholar.org,Oxford graduate scholarship; oldest international fellowship,true,true,false
Robertson Scholar,scholarship,"",tier_3,robertson scholar;robertson scholarship;robertson scholars leadership program,activities_honors;education_description,https://robertsonscholars.org,Full scholarship at Duke or UNC with leadership development and summer experiences.,true,true,false
Ron Brown Scholar,scholarship,"",tier_2,ron brown scholar;ron brown scholarship;ron brown scholar program,activities_honors;education_description,https://ronbrown.org,Merit scholarship for African American high school seniors with community service leadership.,true,true,false
Roy & Diana Vagelos Scholars,scholarship,"",tier_3,vagelos scholars;vagelos scholar;roy and diana vagelos;vagelos program;vagelos scholars program in molecular life sciences,activities_honors;education_description,"",Selective interdisciplinary scholars program at UPenn blending science and liberal arts.,true,true,false
Stamps Scholar,scholarship,"",tier_3,stamps scholar;stamps scholarship;stamps foundation scholar,activities_honors;education_description,https://www.stampsfoundation.org,Merit-based scholarship at 40+ partner universities covering full cost of attendance.,true,true,false
Truman Scholarship,scholarship,"",tier_3,truman scholarship;truman scholar;harry s truman scholarship;truman foundation,activities_honors;education_description,https://www.truman.gov,Federal scholarship for future public service leaders.,true,true,false
Udall Scholarship,scholarship,"",tier_2,udall scholarship;udall scholar;morris k udall scholarship;udall foundation,activities_honors;education_description,https://www.udall.gov,"Scholarship for undergrads committed to environment, tribal policy, or Native healthcare.",true,true,false
UNCF Scholarship,scholarship,"",tier_1,uncf;uncf scholarship;uncf scholar;united negro college fund,activities_honors;education_description,https://uncf.org,United Negro College Fund scholarships supporting minority higher education.,true,true,false
