canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
AAAS Science & Technology Policy Fellowship,fellowship,"","",aaas fellowship;aaas policy fellowship;aaas stpf;aaas science policy fellow;aaas fellow,activities_honors;experience_description,https://www.aaas.org/programs/science-technology-policy-fellowships,Places scientists and engineers in federal policy roles for 1-2 years.,true,true,true
Alchemist Accelerator,fellowship,"","",alchemist accelerator;alchemist;alchemist cohort,experience_description;company_name,https://www.alchemistaccelerator.com,Enterprise-focused startup accelerator.,true,true,true
Allen Institute Research Fellowship,fellowship,research_phd,tier_2,ai2 fellow;allen institute fellow;ai2 research fellow,activities_honors;experience_description;education_description,https://allenai.org,Allen Institute for AI (AI2) Research Fellowship — selective research-track program. Distinct from working at AI2 in any capacity (see research_institute).,true,true,true
Anthropic Fellows,fellowship,ai_residency,tier_3,anthropic fellow;anthropic fellowship;anthropic ai safety fellow,activities_honors;experience_description;education_description,https://anthropic.com,Anthropic's research fellowship program focused on AI safety,true,true,true
Apple Scholars in AI/ML,fellowship,research_phd,tier_2,apple scholar;apple scholars;apple ai ml scholar;apple ml scholar,activities_honors;experience_description;education_description,https://machinelearning.apple.com,Apple's selective AI/ML PhD fellowship program,true,true,true
Bell Labs Fellow,fellowship,research_phd,tier_3,bell labs fellow;bell labs fellowship;nokia bell labs fellow,activities_honors;experience_description;education_description,https://bell-labs.com,Bell Labs research fellowship; legendary industrial research lab,true,true,true
Boren Fellowship,fellowship,"","",boren fellowship;boren fellow;boren award;david l boren fellowship,activities_honors;education_description,https://www.borenawards.org,National security fellowship for graduate international study.,true,true,true
Coding It Forward Fellowship,fellowship,"","",coding it forward;civic digital fellowship;coding it forward fellow,activities_honors;experience_description,https://www.codingitforward.com,Fellowship placing early-career technologists in federal government agencies.,true,true,true
Cohere Labs,fellowship,ai_residency,tier_2,cohere labs;cohere for ai;cohere c4ai;cohere labs scholar,activities_honors;experience_description;education_description,https://cohere.com/research,Cohere's research community fellowship (formerly Cohere For AI),true,true,true
Coro Fellowship,fellowship,"","",coro fellowship;coro fellow;coro fellows program,activities_honors;experience_description,https://www.coro.org,Experiential leadership training fellowship in public affairs.,true,true,true
Critical Language Scholarship,fellowship,"","",critical language scholarship;cls;cls program;critical language program,activities_honors;education_description,https://clscholarship.org,State Department summer language program in critical-need languages.,true,true,true
CZI Fellowship,fellowship,research_phd,tier_2,czi;chan zuckerberg initiative;czi fellow;czi fellowship,activities_honors;experience_description;education_description,https://chanzuckerberg.com,Chan Zuckerberg Initiative fellowship across science and education,true,true,true
DeepMind Scholars,fellowship,ai_residency,tier_3,deepmind scholar;deepmind scholarship;deepmind research scholar,activities_honors;experience_description;education_description,https://deepmind.google,DeepMind's PhD scholarship program for AI research,true,true,true
