canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
AIME,olympiad,math,tier_2,aime;american invitational mathematics examination,activities_honors;education_description;experience_description,https://www.maa.org/math-competitions/aime,Mid-tier qualifier between AMC and USAMO,true,true,true
AMC 10/12,olympiad,math,tier_2,amc 10;amc 12;american mathematics competition,activities_honors;education_description;experience_description,https://www.maa.org/math-competitions/amc-1012,Entry into USAMO chain; AIME qualifier signal,true,true,true
Davidson Fellows,olympiad,research,tier_3,davidson fellows;davidson fellowship,activities_honors;education_description;experience_description,https://www.davidsongifted.org/gifted-programs/fellows-scholarship,$50K research awards for under-18 work; very selective,true,true,true
IBO,olympiad,biology,tier_2,ibo;international biology olympiad,activities_honors;education_description;experience_description,https://www.ibo-info.org,International biology olympiad,true,true,true
IChO,olympiad,chemistry,tier_3,icho;international chemistry olympiad,activities_honors;education_description;experience_description,https://www.ichosc.org,International chemistry olympiad,true,true,true
IMO,olympiad,math,tier_3,imo;international math olympiad;international mathematical olympiad,activities_honors;education_description;experience_description,https://www.imo-official.org,Most prestigious math olympiad globally; team selection from USAMO,true,true,true
IOI,olympiad,computing,tier_3,ioi;international olympiad in informatics,activities_honors;education_description;experience_description,https://ioinformatics.org,International computing olympiad,true,true,true
IPhO,olympiad,physics,tier_3,ipho;international physics olympiad,activities_honors;education_description;experience_description,https://ipho-new.org,International physics olympiad,true,true,true
Putnam Competition,olympiad,math,tier_3,putnam;william lowell putnam;putnam mathematical competition,activities_honors;education_description;experience_description,https://www.maa.org/math-competitions/putnam-competition,College-level math; top 500 / top 200 / top 100 are notable signals,true,true,true
Regeneron ISEF,olympiad,research,tier_3,isef;regeneron isef;international science and engineering fair;intel isef,activities_honors;education_description;experience_description,https://www.societyforscience.org/isef,Largest international HS science fair,true,true,true
Regeneron Science Talent Search,olympiad,research,tier_3,regeneron sts;intel sts;science talent search,activities_honors;education_description;experience_description,https://www.societyforscience.org/regeneron-sts,Top US HS research competition; finalists are very high signal,true,true,true
USABO,olympiad,biology,tier_2,usabo;usa biology olympiad,activities_honors;education_description;experience_description,https://www.usabo-trc.org,US biology olympiad,true,true,true
USACO,olympiad,computing,tier_3,usaco;usa computing olympiad,activities_honors;education_description;experience_description,https://usaco.org,US computing olympiad; Bronze/Silver/Gold/Platinum/Camp tiers; Platinum+ is elite,true,true,true
USAJMO,olympiad,math,tier_3,usajmo;usa junior math olympiad,activities_honors;education_description;experience_description,https://www.maa.org/math-competitions/usamo,Junior version of USAMO for younger students,true,true,true
USAMO,olympiad,math,tier_3,usamo;usa mathematical olympiad;us math olympiad,activities_honors;education_description;experience_description,https://www.maa.org/math-competitions/usamo,Top US high school math competition; ~250 qualifiers/yr from AMC/AIME chain,true,true,true
USAPhO,olympiad,physics,tier_3,usapho;usa physics olympiad,activities_honors;education_description;experience_description,https://www.aapt.org/physicsteam,US high school physics olympiad; semifinal/finalist signal,true,true,true
USNCO,olympiad,chemistry,tier_2,usnco;us national chemistry olympiad;chemistry olympiad,activities_honors;education_description;experience_description,https://www.acs.org/education/students/highschool/olympiad.html,US chemistry olympiad,true,true,true
