canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Berkeley SkyDeck,university_incubator_accelerator,berkeley,tier_3,skydeck;berkeley skydeck;uc berkeley skydeck,activities_honors;education_description;experience_description,https://skydeck.berkeley.edu,UC Berkeley's main startup accelerator.,true,true,true
CITRIS Foundry,university_incubator_accelerator,berkeley,tier_3,citris foundry;berkeley citris foundry;citris foundry berkeley,activities_honors;education_description;experience_description,https://citrisfoundry.org,UC Berkeley's CITRIS Foundry incubator for IT-driven startups.,true,true,true
Columbia Almaworks,university_incubator_accelerator,columbia,tier_3,columbia almaworks;almaworks;columbia core;columbia core almaworks,activities_honors;education_description;experience_description,"",Columbia's student-run startup accelerator/incubator (Almaworks/CORE).,true,true,true
Cornell eLab,university_incubator_accelerator,cornell,tier_3,cornell elab;elab cornell;cornell e-lab;cornell entrepreneurship lab,activities_honors;education_description;experience_description,"",Cornell's student startup accelerator (eLab — Entrepreneurship Lab).,true,true,true
Free Ventures,university_incubator_accelerator,berkeley,tier_3,free ventures;berkeley free ventures;fvbe,activities_honors;education_description;experience_description,https://freeventures.org,Berkeley's student-run startup accelerator.,true,true,true
Harvard i-lab Venture Program,university_incubator_accelerator,harvard,tier_3,harvard i-lab;harvard ilab;harvard innovation lab;harvard i-lab venture program;harvard ilab venture program,activities_honors;education_description;experience_description,https://innovationlabs.harvard.edu,Harvard Innovation Labs' venture incubator program for student/alumni ventures.,true,true,true
MIT delta v,university_incubator_accelerator,mit,tier_3,mit delta v;delta v;mit deltav;martin trust center delta v,activities_honors;education_description;experience_description,https://entrepreneurship.mit.edu/accelerator,Martin Trust Center's 3-month summer accelerator for MIT student startups.,true,true,true
MIT Sandbox,university_incubator_accelerator,mit,tier_3,mit sandbox;sandbox innovation fund,activities_honors;education_description;experience_description,https://sandbox.mit.edu,MIT's broad innovation funding program for student ventures — funds and mentorship.,true,true,true
Northwestern Garage,university_incubator_accelerator,northwestern,tier_3,northwestern garage;nu garage;the garage at northwestern,activities_honors;education_description;experience_description,https://thegarage.northwestern.edu,Northwestern's student startup hub and incubator.,true,true,true
Pear VC Garage,university_incubator_accelerator,multi_campus,tier_3,pear vc garage;pear garage;pear vc;peargarage,activities_honors;education_description;experience_description,https://pear.vc,Pear VC's on-campus garage program — operates at Stanford,false,false,true
Penn Venture Lab VIP-X,university_incubator_accelerator,penn,tier_3,penn venture lab;vip-x;venture lab vip-x;penn vip-x;venture initiation program,activities_honors;education_description;experience_description,https://venturelab.upenn.edu,Penn Venture Lab's VIP-X (Venture Initiation Program — Extreme) startup accelerator.,true,true,true
Princeton eLab,university_incubator_accelerator,princeton,tier_3,princeton elab;princeton e-lab;princeton entrepreneurship lab,activities_honors;education_description;experience_description,https://kellercenter.princeton.edu,Princeton Keller Center's summer eLab accelerator (separate from Converse Program).,true,true,true
Stanford StartX,university_incubator_accelerator,stanford,tier_3,startx;stanford startx;startx accelerator,activities_honors;education_description;experience_description,https://startx.com,Stanford-affiliated nonprofit startup accelerator for students/alumni/faculty.,true,true,true
UCLA Anderson Venture Accelerator,university_incubator_accelerator,ucla,tier_3,ucla anderson venture accelerator;anderson venture accelerator;ucla ava,activities_honors;education_description;experience_description,"",UCLA Anderson School's startup accelerator.,true,true,true
