canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Boys/Girls Nation Delegate,student_leadership,"",tier_3,boys nation;girls nation;boys nation delegate;girls nation delegate;boys nation senator,education_description;activities_honors,"",Selected for the national-level Boys Nation or Girls Nation program.,true,true,true
Boys/Girls State Delegate,student_leadership,"",tier_2,boys state;girls state;american legion boys state;american legion auxiliary girls state;boys state delegate;girls state delegate,education_description;activities_honors,"",Selected delegate to Boys State or Girls State mock-government program.,true,true,true
Class President,student_leadership,"",tier_3,class president;senior class president;junior class president;sophomore class president;freshman class president,education_description;volunteer;activities_honors,"",Elected president of their graduating class.,true,true,true
Club/Society Founder,student_leadership,"",tier_2,founded club;club founder;society founder;started a club;co-founded club;organization founder,education_description;volunteer;activities_honors,"","Founded a student club, organization, or society.",true,true,true
Eagle Scout,student_leadership,"",tier_2,eagle scout;boy scout eagle;bsa eagle scout;eagle rank,education_description;volunteer;activities_honors,"",Highest rank in Boy Scouts of America — earned by ~6% of scouts.,true,true,true
Girl Scout Gold Award,student_leadership,"",tier_2,gold award;girl scout gold award;girl scout gold;gsusa gold award,education_description;volunteer;activities_honors,"",Highest achievement in Girl Scouts — equivalent to Eagle Scout.,true,true,true
Harvard VIP Select Cohort,student_leadership,invite_only,tier_3,harvard vip;harvard vip select;harvard ventures innovation program;harvard vip select cohort,activities_honors;experience_description,"",Harvard Ventures Innovation Program (VIP) Select Cohort — invite-only elite cohort.,true,true,true
Honor Council Member,student_leadership,"",tier_2,honor council;honor board;honor committee;judicial board;honor court,education_description;volunteer;activities_honors,"",Member of a university honor or judicial council.,true,true,true
MIT UA Innovation Committee,student_leadership,invite_only,tier_3,mit ua innovation;mit undergraduate association innovation;mit ua innovation committee,activities_honors;experience_description,"",MIT Undergraduate Association Innovation Committee — invite-only elite student leadership body.,true,true,true
Model UN Award Winner,student_leadership,"",tier_2,model un;model united nations;mun;best delegate;outstanding delegate;distinguished delegate mun,education_description;activities_honors,"",Award winner at Model United Nations conference (Best/Outstanding/Distinguished Delegate).,true,true,true
Newspaper Editor-in-Chief,student_leadership,"",tier_1,editor in chief;editor-in-chief;newspaper editor;student newspaper editor;eic,education_description;volunteer;activities_honors,"",Editor-in-Chief of a student newspaper or publication.,true,true,true
Order of the Arrow,student_leadership,"",tier_2,order of the arrow;oa;bsa order of the arrow;ordeal member;brotherhood member;vigil honor,education_description;volunteer;activities_honors,"",Scouting's national honor society for experienced campers.,true,true,true
Resident Assistant,student_leadership,"","",resident assistant;resident advisor;ra;resident adviser;community advisor,education_description;experience_description;volunteer,"",Resident Assistant — peer leader in university housing.,true,true,false
Student Body President,student_leadership,"",tier_3,student body president;student government president;sg president;student association president;student council president,education_description;volunteer;activities_honors,"",Elected president of student government at their university.,true,true,true
Teaching Assistant,student_leadership,"","",teaching assistant;ta;undergraduate ta;course assistant;lab assistant;grader,education_description;experience_description,"",Teaching or course assistant for a university course.,true,true,false
Team Captain,student_leadership,"",tier_2,team captain;captain;co-captain;varsity captain,education_description;volunteer;activities_honors,"",Captain or co-captain of a sports team or competitive team.,true,true,true
