canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active
USAMO,olympiad,math,3,"usamo;usa mathematical olympiad;us math olympiad","activities_raw;honors_raw;description_raw",https://www.maa.org/math-competitions/usamo,Top US high school math competition; ~250 qualifiers/yr from AMC/AIME chain,TRUE,TRUE
USAJMO,olympiad,math,3,"usajmo;usa junior math olympiad","activities_raw;honors_raw;description_raw",https://www.maa.org/math-competitions/usamo,Junior version of USAMO for younger students,TRUE,TRUE
IMO,olympiad,math,3,"imo;international math olympiad;international mathematical olympiad","activities_raw;honors_raw;description_raw",https://www.imo-official.org,Most prestigious math olympiad globally; team selection from USAMO,TRUE,TRUE
Putnam Competition,olympiad,math,3,"putnam;william lowell putnam;putnam mathematical competition","activities_raw;honors_raw;description_raw",https://www.maa.org/math-competitions/putnam-competition,College-level math; top 500 / top 200 / top 100 are notable signals,TRUE,TRUE
AMC 10/12,olympiad,math,2,"amc 10;amc 12;american mathematics competition","activities_raw;honors_raw;description_raw",https://www.maa.org/math-competitions/amc-1012,Entry into USAMO chain; AIME qualifier signal,TRUE,TRUE
AIME,olympiad,math,2,"aime;american invitational mathematics examination","activities_raw;honors_raw;description_raw",https://www.maa.org/math-competitions/aime,Mid-tier qualifier between AMC and USAMO,TRUE,TRUE
USAPhO,olympiad,physics,3,"usapho;usa physics olympiad","activities_raw;honors_raw;description_raw",https://www.aapt.org/physicsteam,US high school physics olympiad; semifinal/finalist signal,TRUE,TRUE
IPhO,olympiad,physics,3,"ipho;international physics olympiad","activities_raw;honors_raw;description_raw",https://ipho-new.org,International physics olympiad,TRUE,TRUE
USACO,olympiad,computing,3,"usaco;usa computing olympiad","activities_raw;honors_raw;description_raw",https://usaco.org,US computing olympiad; Bronze/Silver/Gold/Platinum/Camp tiers; Platinum+ is elite,TRUE,TRUE
IOI,olympiad,computing,3,"ioi;international olympiad in informatics","activities_raw;honors_raw;description_raw",https://ioinformatics.org,International computing olympiad,TRUE,TRUE
USABO,olympiad,biology,2,"usabo;usa biology olympiad","activities_raw;honors_raw;description_raw",https://www.usabo-trc.org,US biology olympiad,TRUE,TRUE
IBO,olympiad,biology,2,"ibo;international biology olympiad","activities_raw;honors_raw;description_raw",https://www.ibo-info.org,International biology olympiad,TRUE,TRUE
USNCO,olympiad,chemistry,2,"usnco;us national chemistry olympiad;chemistry olympiad","activities_raw;honors_raw;description_raw",https://www.acs.org/education/students/highschool/olympiad.html,US chemistry olympiad,TRUE,TRUE
IChO,olympiad,chemistry,3,"icho;international chemistry olympiad","activities_raw;honors_raw;description_raw",https://www.ichosc.org,International chemistry olympiad,TRUE,TRUE
Regeneron Science Talent Search,olympiad,research,3,"regeneron sts;intel sts;science talent search","activities_raw;honors_raw;description_raw",https://www.societyforscience.org/regeneron-sts,Top US HS research competition; finalists are very high signal,TRUE,TRUE
Regeneron ISEF,olympiad,research,3,"isef;regeneron isef;international science and engineering fair;intel isef","activities_raw;honors_raw;description_raw",https://www.societyforscience.org/isef,Largest international HS science fair,TRUE,TRUE
Davidson Fellows,olympiad,research,3,"davidson fellows;davidson fellowship","activities_raw;honors_raw;description_raw",https://www.davidsongifted.org/gifted-programs/fellows-scholarship,$50K research awards for under-18 work; very selective,TRUE,TRUE
