canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Alpha Chi Omega,greek_life,"","",alpha chi omega;axo;a chi o,education_description;volunteer;activities_honors,https://www.alphachiomega.org,NPC sorority founded 1885 at DePauw University.,true,true,false
Alpha Delta Pi,greek_life,"","",alpha delta pi;adpi;ad pi,education_description;volunteer;activities_honors,https://www.alphadeltapi.org,NPC sorority — first secret society for women (1851).,true,true,false
Alpha Epsilon Phi,greek_life,"","",alpha epsilon phi;aephi;ae phi,education_description;volunteer;activities_honors,https://www.aephi.org,NPC sorority founded 1909 at Barnard College.,true,true,false
Alpha Epsilon Pi,greek_life,"","",alpha epsilon pi;aepi;ae pi,education_description;volunteer;activities_honors,https://www.aepi.org,Jewish fraternity founded 1913 at NYU.,true,true,false
Alpha Gamma Delta,greek_life,"","",alpha gamma delta;agd;alpha gam,education_description;volunteer;activities_honors,https://www.alphagammadelta.org,NPC sorority founded 1904 at Syracuse University.,true,true,false
Alpha Kappa Alpha,greek_life,"","",alpha kappa alpha;aka;alpha kappa alpha sorority,education_description;volunteer;activities_honors,https://aka1908.com,"First historically African American sorority, founded 1908 at Howard.",true,true,false
Alpha Kappa Psi,greek_life,"","",alpha kappa psi;akpsi;akp,education_description;volunteer;activities_honors,https://akpsi.org,Oldest and largest professional business fraternity.,true,true,false
Alpha Omicron Pi,greek_life,"","",alpha omicron pi;aoii;a o pi,education_description;volunteer;activities_honors,https://www.alphaomicronpi.org,NPC sorority founded 1897 at Barnard College.,true,true,false
Alpha Phi,greek_life,"","",a phi;aphi,education_description;volunteer;activities_honors,https://www.alphaphi.org,NPC sorority founded 1872 at Syracuse University.,true,true,false
Alpha Phi Alpha,greek_life,"","",alpha phi alpha;alpha phi alpha fraternity,education_description;volunteer;activities_honors,https://apa1906.net,"First African American intercollegiate fraternity (1906, Cornell).",true,true,false
Alpha Sigma Alpha,greek_life,"","",alpha sigma alpha;asa,education_description;volunteer;activities_honors,https://www.alphasigmaalpha.org,NPC sorority founded 1901.,true,true,false
Alpha Sigma Phi,greek_life,"","",alpha sigma phi;alpha sig,education_description;volunteer;activities_honors,https://alphasigmaphi.org,Fraternity founded 1845 at Yale.,true,true,false
Alpha Sigma Tau,greek_life,"","",alpha sigma tau;ast,education_description;volunteer;activities_honors,https://www.alphasigmatau.org,NPC sorority founded 1899.,true,true,false
Alpha Tau Omega,greek_life,"","",alpha tau omega;ato,education_description;volunteer;activities_honors,https://www.ato.org,First fraternity founded after the Civil War (1865).,true,true,false
Alpha Xi Delta,greek_life,"","",alpha xi delta;axid;a xi d,education_description;volunteer;activities_honors,https://www.alphaxidelta.org,NPC sorority founded 1893 at Lombard College.,true,true,false
Beta Theta Pi,greek_life,"","",beta theta pi;btp,education_description;volunteer;activities_honors,https://www.beta.org,Fraternity founded 1839 at Miami University.,true,true,false
Chi Omega,greek_life,"","",chi omega;chi o;chio,education_description;volunteer;activities_honors,https://www.chiomega.com,Largest NPC sorority — founded 1895 at University of Arkansas.,true,true,false
Chi Phi,greek_life,"","",chi phi;chi phi fraternity,education_description;volunteer;activities_honors,https://www.chiphi.org,"Oldest fraternity, founded 1824.",true,true,false
Chi Psi,greek_life,"","",chi psi;chi psi fraternity,education_description;volunteer;activities_honors,https://www.chipsi.org,Fraternity founded 1841 at Union College.,true,true,false
Delta Chi,greek_life,"","",delta chi;d chi;dchi,education_description;volunteer;activities_honors,https://www.deltachi.org,Fraternity founded 1890 at Cornell.,true,true,false
Delta Delta Delta,greek_life,"","",delta delta delta;tri delta;tri-delta;ddd,education_description;volunteer;activities_honors,https://www.tridelta.org,NPC sorority founded 1888 at Boston University.,true,true,false
Delta Gamma,greek_life,"","",delta gamma;dg;dee gee,education_description;volunteer;activities_honors,https://www.deltagamma.org,NPC sorority founded 1873.,true,true,false
Delta Kappa Epsilon,greek_life,"","",delta kappa epsilon;dke;deke,education_description;volunteer;activities_honors,https://www.dke.org,Fraternity founded 1844 at Yale — five U.S. presidents were members.,true,true,false
Delta Phi Epsilon,greek_life,"","",delta phi epsilon;dphie;d phi e,education_description;volunteer;activities_honors,https://www.dphie.org,NPC sorority founded 1917.,true,true,false
Delta Sigma Phi,greek_life,"","",delta sigma phi;delta sig;dsig,education_description;volunteer;activities_honors,https://www.deltasig.org,Fraternity founded 1899 at CCNY.,true,true,false
Delta Sigma Pi,greek_life,"","",delta sigma pi;dsp;deltasig,education_description;volunteer;activities_honors,https://www.dsp.org,Professional business fraternity founded 1907 at NYU.,true,true,false
Delta Sigma Theta,greek_life,"","",delta sigma theta;dst;delta sigma theta sorority,education_description;volunteer;activities_honors,https://www.deltasigmatheta.org,Historically African American sorority founded 1913 at Howard.,true,true,false
Delta Tau Delta,greek_life,"","",delta tau delta;dtd;delt;delts,education_description;volunteer;activities_honors,https://www.delts.org,Fraternity founded 1858 at Bethany College.,true,true,false
Delta Upsilon,greek_life,"","",delta upsilon;du,education_description;volunteer;activities_honors,https://www.deltau.org,Non-secret fraternity founded 1834 at Williams College.,true,true,false
Delta Zeta,greek_life,"","",delta zeta;dz;d zeta,education_description;volunteer;activities_honors,https://www.deltazeta.org,NPC sorority founded 1902 at Miami University.,true,true,false
Gamma Phi Beta,greek_life,"","",gamma phi beta;gpb;gamma phi,education_description;volunteer;activities_honors,https://www.gammaphibeta.org,NPC sorority founded 1874 at Syracuse University.,true,true,false
Greek Life (generic),greek_life,"","",greek life;fraternity;sorority;fraternity member;sorority member;greek organization,education_description;volunteer;activities_honors,"",Generic catch-all for Greek affiliation when specific org is not identified.,true,true,false
Kappa Alpha Order,greek_life,"","",kappa alpha order;ka,education_description;volunteer;activities_honors,https://www.kappaalphaorder.org,Southern fraternity founded 1865 at Washington and Lee.,true,true,false
