canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Aggie Motorsports,engineering_team,"","",aggie motorsports;fightin texas aggie motorsports,activities_honors;education_description;experience_description;company_name;title,https://tamusae.org,Strong manufacturing pipeline,true,true,false
AI Racing Tech,engineering_team,"","",ai racing tech,activities_honors;education_description;experience_description;company_name;title,https://airacingtech.org,Multi-school consortium (UCSD/UH/UCB),true,true,false
Alabama Lunabotics,engineering_team,"","",alabama lunabotics,activities_honors;education_description;experience_description;company_name;title,https://alabama.edu,"",true,true,false
App State Sunergy,engineering_team,"","",app state sunergy,activities_honors;education_description;experience_description;company_name;title,https://appstate.edu,"",true,true,false
Arcturus,engineering_team,"","",arcturus;mit arcturus,activities_honors;education_description;experience_description;company_name;title,https://arcturus.mit.edu,"",true,true,false
Berkeley Formula Racing,engineering_team,"","",berkeley formula racing;formula electric berkeley,activities_honors;education_description;experience_description;company_name;title,https://feb.berkeley.edu,"",true,true,false
Berkeley VEX U,engineering_team,"","",berkeley vex u,activities_honors;education_description;experience_description;company_name;title,https://berkeley.edu,Multi-time world champ,true,true,false
Black & Gold Autonomous Racing,engineering_team,"","",black & gold autonomous racing;purdue iac,activities_honors;education_description;experience_description;company_name;title,https://purdue.edu,Multi-school consortium,true,true,false
Blue Jay Racing,engineering_team,"","",blue jay racing;jhu baja,activities_honors;education_description;experience_description;company_name;title,https://bluejayracing.org,Multi-time top US Baja team,true,true,false
BU Rocket Propulsion Group,engineering_team,"","",bu rocket propulsion group;burpg,activities_honors;education_description;experience_description;company_name;title,https://burpg.org,"",true,true,false
BYU Mars Rover,engineering_team,"","",byu mars rover,activities_honors;education_description;experience_description;company_name;title,https://byu.edu,"",true,true,false
BYU SUAS,engineering_team,"","",byu suas,activities_honors;education_description;experience_description;company_name;title,https://byu.edu,"",true,true,false
Cal Poly Pomona Baja,engineering_team,"","",cal poly pomona baja;cpp baja,activities_honors;education_description;experience_description;company_name;title,https://cppbaja.com,Consistent west coast strong,true,true,false
