canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Alpha Lambda Delta,academic_distinction,alpha_lambda_delta,tier_1,alpha lambda delta;ald;alpha lambda delta honor society,activities_honors;education_description,https://www.nationalald.org,Freshman honor society — recognizes top academic achievement in first year.,true,true,false
Beta Gamma Sigma,academic_distinction,beta_gamma_sigma,tier_2,beta gamma sigma;bgs;beta gamma sigma business,activities_honors;education_description,https://www.betagammasigma.org,Honor society for AACSB-accredited business schools — top 10% of class.,true,true,false
Cum Laude,academic_distinction,cum_laude,tier_1,cum laude;graduated cum laude;with honors;graduated with honors,activities_honors;education_description,"",Graduated with Latin honors (typically top ~25-30% GPA).,true,true,false
Dean's List,academic_distinction,deans_list,tier_1,dean's list;deans list;dean's honor list;dean's list scholar,activities_honors;education_description,"",Named to the Dean's List for academic achievement during a semester.,true,true,false
Eta Kappa Nu,academic_distinction,eta_kappa_nu,tier_2,eta kappa nu;hkn;ieee-hkn;ieee eta kappa nu,activities_honors;education_description,https://hkn.ieee.org,IEEE's honor society for electrical and computer engineering.,true,true,false
Golden Key,academic_distinction,golden_key,tier_1,golden key;golden key international;golden key honour society;golden key honor society,activities_honors;education_description,https://www.goldenkey.org,International honour society — top 15% of class across all disciplines.,true,true,false
Honors College,academic_distinction,honors_college,tier_1,honors college;honors program;university honors;honors student;honors scholar,activities_honors;education_description,"",Member of the university Honors College or Honors Program.,true,true,false
Magna Cum Laude,academic_distinction,magna_cum_laude,tier_2,magna cum laude;magna;graduated magna cum laude;with high honors,activities_honors;education_description,"",Graduated with high Latin honors (typically top ~10-15% GPA).,true,true,false
Mortar Board,academic_distinction,mortar_board,tier_1,mortar board;mortar board honor society;mortar board national honor society,activities_honors;education_description,https://www.mortarboard.org,"Senior honor society recognizing scholarship, leadership, and service.",true,true,false
Order of Omega,academic_distinction,order_of_omega,tier_1,order of omega;order of omega honor society,activities_honors;education_description,https://www.orderofomega.org,Greek honor society recognizing top 3% of Greek-affiliated students.,true,true,false
Phi Beta Kappa,academic_distinction,phi_beta_kappa,tier_3,phi beta kappa;pbk;phiBK,activities_honors;education_description,https://www.pbk.org,Most prestigious academic honor society — founded 1776. Top ~10% of arts & sciences.,true,true,false
Phi Kappa Phi,academic_distinction,phi_kappa_phi,tier_2,phi kappa phi;pkp honor society,activities_honors;education_description,https://www.phikappaphi.org,"Oldest all-discipline honor society — top 7.5% of juniors, top 10% of seniors.",true,true,false
Phi Theta Kappa,academic_distinction,phi_theta_kappa,tier_1,phi theta kappa;ptk;phi theta kappa honor society,activities_honors;education_description,https://www.ptk.org,Honor society for community college students — strong signal for transfer students.,true,true,false
Pi Tau Sigma,academic_distinction,pi_tau_sigma,tier_1,pi tau sigma;pts;pi tau sigma mechanical,activities_honors;education_description,https://pitausigma.org,International mechanical engineering honor society.,true,true,false
Salutatorian,academic_distinction,salutatorian,tier_3,salutatorian;class salutatorian;graduated salutatorian,activities_honors;education_description,"",Graduated second in class.,true,true,false
Sigma Xi,academic_distinction,sigma_xi,tier_3,sigma xi;sigma xi research honor society,activities_honors;education_description,https://www.sigmaxi.org,Scientific research honor society — membership indicates significant research contribution.,true,true,false
Summa Cum Laude,academic_distinction,summa_cum_laude,tier_3,summa cum laude;summa;graduated summa cum laude;with highest honors,activities_honors;education_description,"",Graduated with highest Latin honors (typically top ~5% GPA).,true,true,false
Tau Beta Pi,academic_distinction,tau_beta_pi,tier_2,tau beta pi;tbp;tau beta pi engineering,activities_honors;education_description,https://www.tbp.org,Oldest engineering honor society — top 1/8 of junior class or top 1/5 of senior class.,true,true,false
Tau Sigma,academic_distinction,tau_sigma,tier_1,tau sigma;tau sigma honor society;transfer student honor society,activities_honors;education_description,"",National honor society for transfer students with high academic achievement.,true,true,false
Valedictorian,academic_distinction,valedictorian,tier_3,valedictorian;class valedictorian;graduated valedictorian,activities_honors;education_description,"",Graduated first in class.,true,true,false
